"","Enterprise.Value","EBIT","Earnings.before.Tax","Operating.Cash.Flow","EBITDA","Net.Income.Com","Net.Income","Consolidated.Income","Free.Cash.Flow","Gross.Profit","Income.Tax.Expense","Financing.Cash.Flow","Issuance..buybacks..of.shares","Dividend.payments","Stock.based.compensation","Operating.Expenses","Total.shareholders.equity","Revenue","Depreciation...Amortization","Feature.1","Feature.2","Feature.3","Feature.4"
"317",1.14289e+11,4.379e+09,4.325e+09,4.955e+09,5.126e+09,1.933e+09,1.933e+09,1.933e+09,3.93e+09,1.5956e+10,2.392e+09,-4.835e+09,-3.521e+09,-1.243e+09,2.18e+08,1.1511e+10,9.812e+09,3.6397e+10,7.47e+08,-1.578159332,-0.4148878157,1.794023752,0.08897483349
"318",16144760856,-5e+08,-8.94e+08,1.058e+09,1.75e+08,-7.12e+08,-7.12e+08,-7e+08,5.42e+08,3.71e+09,-1.82e+08,-6.76e+08,-5e+07,-4.94e+08,3.5e+07,4.185e+09,2.847e+09,6.515e+09,6.75e+08,-1.751007318,1.567919254,-0.1871554255,-2.496175051
"319",54823466979,4.304e+09,3.742e+09,3.827e+09,5.104e+09,3.229e+09,3.229e+09,3.229e+09,2.578e+09,6.791e+09,5.13e+08,-4.595e+09,-1.263e+09,-8.21e+08,8.6e+07,3.011e+09,8.187e+09,3.0095e+10,8e+08,-0.622669518,-0.02222596854,1.5627774,0.09459231049
"320",11136520284,1.25e+08,3.2e+07,5.21e+08,8.15e+08,-3.1e+07,-3.1e+07,-2.2e+07,2.77e+08,1.444e+09,6.3e+07,-3e+07,0,-7.6e+07,1.1e+08,1.233e+09,1.3819e+10,8.453e+09,6.9e+08,0.6756702662,0.2299519926,0.3366727829,-0.9028165936
"321",17635228950,7.58e+08,2.75e+08,1.377e+09,1.217e+09,2.68e+08,2.68e+08,2.68e+08,9.89e+08,2.37e+09,7e+06,-1.526e+09,-1.229e+09,-3.7e+07,2.5e+07,1.388e+09,-1.234e+09,9.478e+09,4.59e+08,-0.7285109162,-0.5291389227,1.026433229,-0.4551556706
"322",51513761408,4.026e+09,3.469e+09,3.726e+09,5.13e+09,2.666e+09,2.666e+09,2.666e+09,1.979e+09,7.986e+09,8.03e+08,-2.312e+09,-2.741e+09,-8.44e+08,0,4.027e+09,1.5362e+10,1.1458e+10,1.104e+09,-0.1487818062,-0.02998254821,1.267241359,-0.08714152873
"323",14592990519,1.199e+09,1.199e+09,1.478e+09,1.397e+09,1.16e+08,1.16e+08,1.16e+08,1.543e+09,3.709e+09,1.083e+09,-9.86e+08,-7.94e+08,-2.14e+08,1.61e+08,2.551e+09,2.276e+09,5.919e+09,1.98e+08,-1.102762818,0.01171130873,0.8433944583,-0.860185504
"324",-12859762025,1957800000,1957800000,1767500000,2418700000,1.51e+09,1556400000,1556400000,1261500000,5974700000,401400000,-5818200000,-891700000,-405400000,0,4016900000,10508300000,5974700000,460900000,-0.5234398246,-0.1881600916,0.6113048196,-0.9161137342
"325",19157104897,3244609000,3109074000,2393952000,3964246000,2360767000,2360767000,2481084000,1443010000,4295408000,748307000,-908177000,-829896000,-485376000,73422000,970722000,9792078000,25067279000,719637000,0.1143449172,-0.3179579377,0.583447814,-0.7472841144
"326",1.44483e+11,3.257e+09,3.196e+09,3.502e+09,3.456e+09,3.047e+09,3.047e+09,3.047e+09,2.911e+09,5.822e+09,1.49e+08,-2.544e+09,-7.7e+08,-3.41e+08,3.91e+08,2.612e+09,7.471e+09,9.714e+09,1.99e+08,-1.758349895,0.2150636613,1.504325867,-0.3675754368
"327",15197112000,-7949700000,-8.396e+09,6.8e+08,-7515800000,-6917900000,-6917900000,-6917900000,295600000,3008800000,-1478100000,-5454500000,-1507300000,-434600000,75700000,10837300000,5218400000,8630900000,433900000,0.3377542198,-0.3312526643,1.124852419,-0.06497769058
"328",8748900761,-1.152e+09,-1.159e+09,7.57e+08,-6.8e+08,-1.514e+09,-1.514e+09,-1.444e+09,5.31e+08,4.121e+09,3.55e+08,-3.98e+08,0,-1.58e+08,0,3.873e+09,9.291e+09,9.024e+09,4.72e+08,4.76540184,1.497890115,-0.7102766633,-1.453517795
"329",25093724839,634974000,368954000,940742000,1174754000,363614000,363614000,364598000,-853943000,1261512000,5340000,707871000,6362000,-761582000,27267000,625554000,8088742000,1327838000,539780000,-1.319517255,-0.2761876285,1.574137807,-0.07127038389
"330",31589969684,1984226000,1514606000,2186719000,2412783000,1151703000,1151703000,1155032000,45244000,3066566000,362903000,-97049000,1203981000,-1335058000,31664000,1246030000,6579543000,12593196000,428557000,0.4061617851,-0.5683757067,1.295131326,0.1803311408
"331",17647399637,2085500000,1819100000,1722300000,2349500000,1326400000,1326400000,1440500000,1526600000,15290200000,492700000,-1441100000,-568300000,-548500000,70500000,13335100000,2547100000,15290200000,2.64e+08,-1.162857056,0.4566803277,-0.1301195174,-2.050045252
"332",1.84084e+11,1.4449e+10,1.2424e+10,1.5386e+10,1.7234e+10,3.587e+09,3.587e+09,3.587e+09,1.365e+10,3.1323e+10,8.837e+09,-9.982e+09,-9.451e+09,-3.14e+09,1.607e+09,1.8059e+10,4.6372e+10,3.9383e+10,2.785e+09,-0.4674410522,-1.530733943,1.613994718,0.3789301515
"333",30968137147,1816216000,1694087000,1727555000,2075153000,1324487000,1324487000,1324487000,1228071000,5039966000,369600000,-1208286000,-1641867000,0,20176000,3224782000,353667000,9536428000,258937000,1.295069337,-0.7046703696,0.4560462534,-0.491701901
"334",53627492074,5.997e+09,5.608e+09,7.669e+09,9.974e+09,4.131e+09,4.131e+09,4.131e+09,2.749e+09,7.95e+09,1.477e+09,-3.102e+09,-1.215e+09,-2.374e+09,0,2.284e+09,2.133e+10,1.8934e+10,3.977e+09,-1.849809408,0.5453752279,-0.1271967739,-2.283941507
"335",23137078633,1308700000,1300100000,1276400000,1446700000,994100000,994100000,994100000,1122400000,2359500000,3.06e+08,-423800000,-143100000,-739700000,44600000,1.068e+09,2356800000,3377700000,1.38e+08,0.02809672803,-0.037719924,0.7849718332,-0.5678237677
"336",9002564944,576300000,576300000,589300000,612600000,4.54e+08,468100000,468100000,501400000,1572400000,108200000,-539500000,25400000,-243800000,23700000,996100000,6533900000,1572400000,36300000,-0.8959403038,0.2344472408,1.580225587,-0.005847028457
"337",25460927099,2997100000,2810200000,2992300000,4051200000,2195100000,2195100000,2195100000,1.04e+09,4570700000,615100000,71100000,-335100000,-804300000,0,1695300000,8592900000,23495700000,1054100000,0.06907027215,-0.3420790434,0.5746620893,-0.7478576303
"338",32644514055,-9.214e+09,-1.0143e+10,4.752e+09,-6.178e+09,-6.851e+09,-6.851e+09,-6.837e+09,-1.762e+09,5.107e+09,-3.292e+09,3.031e+09,2e+08,0,0,1.4807e+10,1.2651e+10,1.6759e+10,3.036e+09,-1.585002422,0.05870912969,1.185634136,-0.623994112
"339",3154723520,226006000,179263000,178895000,309822000,200974000,200974000,200974000,135632000,1199366000,-21711000,-230162000,-87500000,-99199000,36532000,979477000,1461790000,5465683000,83816000,-2.062947989,0.8953345418,1.122056723,-0.9907765388
"340",41609657406,2.331e+09,1.855e+09,2.913e+09,3.489e+09,1.438e+09,1.438e+09,1.438e+09,-9.99e+08,3.456e+09,4.17e+08,8.87e+08,0,-9.1e+08,0,1.158e+09,1.4377e+10,9.696e+09,1.158e+09,1.10023725,-2.256246567,0.9964902401,0.2281658649
"341",1.77281e+11,1.067e+10,9.145e+09,9.415e+09,1.3069e+10,1.2515e+10,1.2515e+10,1.2559e+10,6.267e+09,3.528e+10,-3.37e+09,-1.3769e+10,-1.719e+09,-4.93e+09,2.56e+08,2.517e+10,1.4518e+10,6.4661e+10,2.399e+09,-0.7607375383,-0.392539978,1.517740846,0.036438182
"342",2.75225e+11,1.1859e+10,1.1859e+10,1.5827e+10,1.8243e+10,1.1153e+10,1.1153e+10,1.1188e+10,1.3631e+10,4.2399e+10,7.06e+08,-2.0441e+10,-1.0939e+10,-7.978e+09,9.49e+08,3.0514e+10,6.3407e+10,5.3647e+10,6.384e+09,0.8403940797,-0.245217979,0.8211098313,-0.2394151092
"343",12827251406,1777200000,1777200000,5156500000,1982300000,1546500000,1546500000,1553700000,5064200000,5921100000,230700000,1052700000,-607600000,-598600000,77400000,4136700000,1.139e+10,14237200000,205100000,-0.6664176583,0.02722617052,1.150037885,-0.3800573945
"344",2.15902e+11,1.3721e+10,1.3215e+10,1.4867e+10,1.6555e+10,9.75e+09,9.75e+09,9.861e+09,1.115e+10,3.24e+10,3.465e+09,-1.4375e+10,-5.827e+09,-7.31e+09,3.95e+08,1.9037e+10,5.2883e+10,6.6832e+10,2.834e+09,1.716450095,-0.688962698,-0.07417016476,-0.9633447528
"345",37715122948,3324400000,3157900000,6284800000,3586800000,2593900000,2615300000,2.621e+09,6028200000,1.0258e+10,542600000,846700000,-75700000,-654900000,77200000,6927900000,10821800000,3.1979e+10,262400000,3.775971413,1.184646606,0.2232590169,-0.5137800574
"346",24855530585,1915636000,1701763000,1596700000,2381721000,1060801000,1060801000,1061315000,1430914000,3564647000,640962000,-1681972000,-377359000,-365288000,118831000,1635506000,5859866000,14302392000,466085000,1.954023004,-0.3632215858,0.8190844655,0.03532207012
"347",9542364019,1347540000,1347540000,1449744000,1396969000,1022023000,1022023000,1022023000,1390705000,2373412000,325517000,-580270000,-302473000,-104020000,28290000,1025872000,4817782000,10188331000,49429000,0.6758118868,-0.8239892125,0.5544273853,-0.520849824
"348",10027944491,1067700000,970500000,1180100000,1478600000,7.38e+08,7.38e+08,7.38e+08,628700000,1645300000,232500000,-427300000,0,-268100000,23500000,577600000,2672400000,7014600000,410900000,-1.252950788,-0.1441748142,1.575804234,-0.07819256186
"349",10466209260,324336000,258135000,311038000,504924000,237927000,237927000,237927000,217785000,1340939000,20208000,-179230000,-32612000,-31009000,28767000,1017055000,2584955000,2777996000,180588000,2.51533246,-0.668110311,-0.3730814457,-1.122514725
"350",47711960600,1941832000,1712691000,1803559000,2889046000,1643426000,1649361000,1822960000,-1376657000,2046761000,63330000,-1232101000,6891000,-1123367000,76093000,1199759000,22298093000,2804449000,947214000,1.612855434,-0.1004767939,0.3007298708,-0.6722428203
"351",1.28946e+11,1.1021e+10,1.0356e+10,9.478e+09,1.201e+10,7.911e+09,7.911e+09,8.286e+09,8.042e+09,1.8867e+10,2.445e+09,-9.651e+09,0,-6.885e+09,0,7.49e+09,-1.2459e+10,7.9823e+10,9.89e+08,-0.6090717912,-0.1284901649,0.9245316982,-0.5755455494
"352",94755141568,6.383e+09,6.383e+09,7.84e+09,7.512e+09,5.061e+09,5.301e+09,5.346e+09,7.84e+09,1.7132e+10,1.082e+09,-3.512e+09,-2.808e+09,-1.601e+09,0,1.0296e+10,4.7728e+10,1.7132e+10,1.129e+09,1.256860971,-0.2455491424,0.4582640529,-0.5538903475
"353",7271946913,438100000,405500000,439100000,522700000,347400000,347400000,347400000,391100000,1047700000,58100000,-407900000,-486700000,-187200000,20900000,6.11e+08,1836100000,2965100000,84600000,0.6820417047,-0.517603457,0.977653265,-0.09717917442
"354",14758059763,863234000,644949000,1254801000,1512529000,511047000,511047000,530540000,113456000,1365538000,133902000,-75499000,0,-3.16e+08,0,591851000,5222915000,3691247000,649295000,2.792489529,0.5151993036,0.5332861543,-0.2436982989
"355",28576426069,1.812e+09,1.694e+09,1.467e+09,2.309e+09,1.341e+09,1.341e+09,1.358e+09,1.083e+09,6.373e+09,3.53e+08,-1.205e+09,-1.706e+09,-4.53e+08,3.7e+07,4.699e+09,4.63e+09,1.5374e+10,4.97e+08,0.5678264499,-0.3299053609,-0.06398545206,-1.329467535
"356",41811263790,3.248e+09,2.285e+09,2.821e+09,4.42e+09,1.827e+09,1.827e+09,1.827e+09,-4.17e+08,2.852e+09,4.58e+08,6.9e+08,6.98e+08,-1.133e+09,2.6e+07,0,1.1657e+10,7.785e+09,1.172e+09,1.272833943,-0.6263600588,0.1474566013,-0.8438485265
"357",7955741080,418600000,290600000,5.93e+08,842200000,1.31e+08,1.31e+08,1.31e+08,490400000,1831500000,159600000,-571900000,-398700000,-104900000,37700000,1.595e+09,5.668e+09,4731700000,423600000,-2.126316786,-0.1553768069,1.656653762,-0.2722319365
"358",42377150000,4.896e+09,4.896e+09,2.1664e+10,5.057e+09,4.074e+09,4.074e+09,4.088e+09,2.1664e+10,1.9056e+10,8.22e+08,7.81e+08,-1.368e+09,-1.521e+09,0,1.4222e+10,4.8617e+10,6.2992e+10,1.61e+08,1.328846335,-0.9178553224,-0.04503703862,-1.016268969
"359",36344181421,1743573000,1711031000,2061503000,2227219000,1488900000,1711031000,1717223000,1582634000,2014558000,0,-1619588000,12525000,-1612680000,69936000,602366000,9119478000,2754280000,483646000,-2.081110954,1.028098941,-0.4920041859,-2.879563808
"360",47866946404,7.671e+09,7.167e+09,7.573e+09,9.027e+09,5.595e+09,5.595e+09,5.873e+09,4.934e+09,1.0982e+10,1.572e+09,-5.167e+09,-4.606e+09,-1.436e+09,0,3.041e+09,2.4653e+10,1.14217e+11,1.356e+09,0.1615158767,-0.8063035011,0.6282861233,-0.6205317974
"361",13837815098,640400000,511900000,644200000,965300000,537800000,537800000,536100000,289500000,4894400000,-25900000,-5.09e+08,-229100000,-11900000,44900000,4248200000,5536400000,8914800000,324900000,1.066540956,-1.0790627,0.1120411828,-0.8836414814
"362",5423015732,491950000,455005000,358789000,738463000,293346000,293346000,296007000,82526000,1479964000,161659000,-16570000,-443152000,0,52484000,950943000,3604159000,11171423000,246513000,-1.857371926,0.9118208885,-0.06128046662,-2.277242184
"363",23263173945,1.38e+09,1.254e+09,3.242e+09,2.914e+09,9.78e+08,9.78e+08,9.75e+08,-5.41e+08,4.346e+09,2.76e+08,-7.03e+08,-1.71e+08,-5.5e+07,8.5e+07,2.969e+09,1.2111e+10,9.415e+09,1.534e+09,-1.045429111,1.363861918,-0.7546554804,-2.891556501
"364",89445215710,2.376e+09,2.376e+09,5.483e+09,3.152e+09,2.057e+09,2.057e+09,2.057e+09,4.663e+09,7.114e+09,3.19e+08,-1.262e+09,-3.376e+09,0,8.53e+08,4.92e+09,1.5386e+10,1.5451e+10,7.76e+08,-0.7175291777,-0.6768547893,1.469501019,0.02946603298
"365",1.10939e+11,1.16e+09,3.92e+08,3.908e+09,2.721e+09,-4.964e+09,-4.964e+09,-4.964e+09,3.124e+09,1.2367e+10,5.356e+09,-3.15e+10,-2.1977e+10,-3.466e+09,8.83e+08,1.1746e+10,8.07e+08,2.2611e+10,1.561e+09,1.410826564,0.6342820525,1.086820602,0.05589337274
"366",8725859339,76693000,17145000,852520000,790908000,-40288000,-40288000,-40288000,582685000,1146966000,57433000,-196848000,-162495000,0,68158000,1077290000,4775564000,2973536000,714215000,-1.61034596,0.7776382565,-0.5210360289,-2.715035677
"367",30927604565,2144714000,1811042000,3479139000,3178411000,1811042000,1811042000,1815792000,-180889000,4231642000,0,1198073000,-570775000,-527494000,46061000,2336841000,11105461000,9493849000,1033697000,-0.7627126575,-0.8477029204,1.200649977,-0.2604953051
"368",8588039044,-195440000,-226471000,610069000,-195440000,103552000,103552000,103552000,610069000,206773000,-330023000,-316594000,-100373000,-216221000,32369000,402213000,7860797000,7377206000,0,0.1759743989,-0.1861486882,0.6406580806,-0.6531772614
"369",13612944634,397583000,249127000,610327000,757271000,249127000,249127000,252325000,634581000,815085000,0,-508494000,-220524000,-375978000,12550000,434916000,6397970000,1120975000,359688000,1.215972304,-0.6240112185,0.9965379834,0.09278449416
"370",38324209654,2581700000,2553500000,2195100000,2729900000,2444400000,2444400000,2444400000,1.812e+09,6276700000,109100000,-77100000,-77100000,0,427400000,3742300000,8757300000,6710800000,148200000,-0.8682300448,-0.6223871708,1.140286565,-0.3930499852
"371",22799183811,2.082e+09,2.082e+09,2.275e+09,2.544e+09,1.695e+09,1.695e+09,1.759e+09,2.124e+09,5.525e+09,3.87e+08,3.27e+08,-2.122e+09,-4.52e+08,0,3.57e+09,1.509e+10,5.525e+09,4.62e+08,0.3685505986,0.3298221827,0.5290690064,-0.8129689693
"372",6672449830,591602000,591602000,572322000,657551000,434288000,434288000,434288000,529838000,2410014000,157314000,-490115000,-353509000,-136423000,44953000,1822794000,1063198000,5800271000,65949000,0.9027567506,-0.6751167774,0.9964197874,0.001543937251
"373",7331216304,1310655000,1310655000,1903327000,1409390000,856695000,856695000,850917000,1769741000,7181930000,453960000,1420182000,-61971000,-151336000,99486000,5877053000,6.368e+09,7274318000,98735000,3.505235434,-0.9992533922,-0.06232003868,-0.5159785748
"374",7374742213,507400000,489200000,975100000,802600000,162800000,162800000,162800000,813500000,3751700000,326400000,-197500000,-1.7e+07,-162400000,74500000,3253500000,3457400000,6182300000,295200000,1.341390491,-0.7779750228,0.294300288,-0.6477129459
"375",14906139897,549667000,521312000,505026000,669627000,315588000,315588000,315588000,442445000,1362164000,205724000,-1026694000,-15084000,-199497000,48412000,820333000,2058980000,2340196000,119960000,2.930160284,0.4981884956,0.3297738731,-0.4175968468
"376",24022724013,1403800000,1330800000,1.3e+09,1568400000,535500000,535500000,535500000,1.175e+09,2884900000,795300000,-1888900000,-1400500000,-440800000,38500000,1587900000,1617500000,6.666e+09,164600000,-0.7885469794,-0.286605835,1.217204452,-0.3046553433
"377",32143691208,1380500000,1198400000,1430100000,1.43e+09,944400000,944400000,944400000,1371500000,3279500000,2.54e+08,-388100000,1.6e+07,-170100000,133800000,1883100000,7738500000,5191200000,49500000,1.611485839,0.02309760824,-0.01029834524,-1.041983247
"378",28493188169,2048396000,2040720000,1681338000,2361559000,1362753000,1362753000,1362753000,1325896000,4092094000,677967000,-1149491000,-901965000,-247526000,87417000,2043698000,3049308000,14134732000,313163000,-1.634609818,0.870721817,0.07415949553,-2.042745829
"379",6136127238,-1566761000,-1776970000,990690000,-908680000,-1746481000,-1746481000,-1746481000,-32306000,1483102000,-30489000,-295159000,9747000,-19940000,29757000,3049863000,4059431000,3282645000,658081000,3.000992298,0.7456230521,0.2186564803,-0.596188724
"380",31665291670,1.704e+09,1320200000,2242800000,2818100000,1036900000,1036900000,1037600000,1202600000,3890900000,283300000,-1059500000,-713700000,-461800000,3.9e+07,2151700000,7927100000,10040900000,1114100000,1.945858598,-0.9739128947,-0.2546883225,-1.127738595
"381",45733882950,3.357e+09,3.173e+09,3.428e+09,3.925e+09,2.909e+09,2.909e+09,2.882e+09,2.609e+09,7.485e+09,2.64e+08,-2.398e+09,-1.418e+09,-9.75e+08,1.65e+08,2.947e+09,1.1472e+10,2.7058e+10,5.68e+08,0.06439206004,-0.5794821978,0.8583889008,-0.4047551751
"382",28108254541,430541000,51684000,850618000,1102654000,47451000,47451000,47451000,700806000,1396900000,4233000,-148537000,-795581000,0,42327000,852734000,-3376823000,1865695000,672113000,0.07544293255,-0.2518725991,0.3848043084,-0.9753565788
"383",75485278000,5950600000,5780300000,11937800000,7256500000,4518300000,4518300000,4.518e+09,9961400000,16788800000,1.262e+09,-3242800000,-6979600000,-1743400000,250300000,13206700000,1169500000,24719500000,1305900000,0.5898215771,-0.5504311323,0.68652004,-0.464961201
"384",7359304826,4.562e+09,4.562e+09,1.2456e+10,4.868e+09,3.329e+09,3.507e+09,3.507e+09,1.1886e+10,1.0132e+10,1.055e+09,4.7166e+10,-8.75e+08,-7.87e+08,1.97e+08,5.57e+09,2.067e+10,1.0132e+10,3.06e+08,-1.901537895,-0.4447598755,1.851840138,0.05238277838
"385",8669771320,678500000,500600000,4.28e+08,809700000,193100000,193100000,193100000,259400000,1502100000,307500000,-478300000,-582600000,-104100000,50800000,845800000,-348600000,4732700000,131200000,1.468661785,-0.6494911909,0.3416876197,-0.5975509286
"386",46026356687,1726384000,1359650000,1943700000,2322665000,1108746000,1108746000,1108746000,1692743000,7418562000,250904000,-1746653000,-522567000,-322934000,82588000,5541014000,3730745000,17534493000,596281000,-1.167586684,-0.07509963214,1.540862799,-0.1032644138
"387",3465125306,579900000,527200000,1940500000,783300000,486400000,519300000,519300000,1703100000,2.19e+09,7900000,-1253600000,-4.6e+08,-76500000,16100000,1610100000,2499800000,6.253e+09,203400000,-2.113571882,-0.05256344378,2.323293686,0.4523515701
"388",17598790119,1035100000,8.61e+08,1.218e+09,1448200000,1338600000,1338600000,1338600000,909500000,2836100000,-477600000,-9.22e+08,-7e+06,-350300000,15400000,1792100000,7891100000,7357100000,413100000,-1.243219137,-0.4375922978,1.011772037,-0.6591003537
"389",63237649305,3.16e+09,2.585e+09,5.713e+09,6.716e+09,2.138e+09,2.138e+09,2.177e+09,3.453e+09,4.337e+09,4.47e+08,-5.02e+09,-1.39e+08,-2.77e+09,3.45e+08,1.502e+09,3.6162e+10,3.2815e+10,3.556e+09,4.808845997,1.314024925,0.07092364132,-0.6113148332
"390",12053016012,455931000,247262000,441537000,747846000,232312000,247262000,270856000,126591000,778729000,0,-1094112000,-950493000,-313230000,0,403994000,5901521000,1227392000,291915000,0.21326904,-2.024196625,1.653337121,0.6520062089
"391",9127540000,944700000,9.1e+08,764500000,1038800000,6.84e+08,679900000,696200000,674300000,2.144e+09,-2.11e+08,-502200000,-228600000,-1.92e+08,27200000,1.144e+09,3.099e+09,4.07e+09,94100000,-1.351300716,-0.1232826486,1.596733212,-0.08570866287
"392",13049282220,363543000,363543000,424232000,572750000,432518000,432518000,432518000,323968000,2385160000,-68975000,5138000,-276171000,0,140032000,2024935000,3479152000,3121058000,209207000,0.3700790107,-1.201023579,0.6822540164,-0.4469213486
"393",90641791001,4.533e+09,2.691e+09,6.945e+09,8.082e+09,2.226e+09,2.242e+09,2.3e+09,-1.006e+09,8.338e+09,4.49e+08,-1.813e+09,1.09e+09,-2.425e+09,1.25e+08,4.438e+09,2.9039e+10,2.3495e+10,3.549e+09,-1.82389915,-0.5791913271,2.04500556,0.3065516353
"394",74751248676,3292879000,2476956000,3750796000,4642655000,2436721000,2440058000,2822343000,2968887000,4649955000,36898000,-4482264000,-435943000,-2819727000,0,1726237000,3296681000,5657919000,1349776000,0.4061773717,-0.6221591234,0.6499050856,-0.5467028618
"395",44341946000,2.652e+09,2.518e+09,2.064e+09,2.858e+09,1.958e+09,1.958e+09,2.121e+09,1.951e+09,4.557e+09,5.6e+08,-2.288e+09,-1.626e+09,-5.03e+08,9.4e+07,1.767e+09,6.28e+08,6.258e+09,2.06e+08,3.808691978,1.077403665,0.2855532169,-0.3803559542
"396",6072625230,-167900000,-274500000,165700000,8.8e+07,-253300000,-244700000,-245600000,34900000,1.376e+09,-29800000,-25700000,20100000,0,24100000,1537100000,2587400000,3485900000,255900000,1.395383954,-0.3009118736,0.2308854312,-0.7651811838
"397",52376299418,2.071e+09,1.146e+09,3.447e+09,3.62e+09,9.24e+08,1.05e+09,1.126e+09,-3.37e+08,4.414e+09,9.6e+07,9.006e+09,2.251e+09,-8.77e+08,8.3e+07,2.619e+09,1.7138e+10,1.1687e+10,1.549e+09,0.3933788836,-0.522561729,0.9065285921,-0.2721362412
"398",37767946194,3.323e+09,3.323e+09,2.569e+09,4.039e+09,2.668e+09,2.775e+09,2.784e+09,2.224e+09,9.005e+09,5.48e+08,8.165e+09,-1.874e+09,-9.36e+08,1.4e+08,5.673e+09,2.428e+10,9.005e+09,7.16e+08,-0.202514261,-1.864735007,1.591184735,0.4580717385
"399",-1.14767e+11,2.81e+09,2.81e+09,1.0457e+10,3.787e+09,2.41e+09,2.41e+09,2.599e+09,9.848e+09,1.1982e+10,4e+08,-4.471e+09,6.76e+08,-8.28e+08,0,8.968e+09,2.4737e+10,1.1982e+10,9.77e+08,0.3476487398,-0.8823056817,0.5178248286,-0.6579009295
"400",19176400514,1.654e+09,1.418e+09,2.113e+09,2.252e+09,1.182e+09,1.182e+09,1.182e+09,1.747e+09,3.364e+09,2.36e+08,-1.211e+09,-2.48e+08,-7.26e+08,1.12e+08,1.73e+09,1.665e+09,1.1184e+10,5.98e+08,1.585347533,-0.292232573,-0.04332345724,-1.044277787
"401",52052556482,2658100000,2326100000,1931400000,2951900000,2303400000,2303400000,2315300000,873800000,3812500000,22700000,-601200000,-989100000,-400100000,60900000,1532700000,7975100000,7580300000,293800000,-2.040034771,3.786752462,1.076241016,-1.534041047
"402",21997635656,1299400000,1021500000,1260900000,1805900000,605200000,605200000,605800000,768800000,4851100000,416300000,-561600000,-488600000,-384900000,76500000,3.332e+09,7836200000,13982400000,506500000,1.042558432,-1.238711119,0.9442527294,0.05675127357
"403",15208015947,1332100000,1332100000,1260600000,1631300000,918400000,918400000,918400000,838300000,1950700000,413700000,-993700000,-750500000,-243200000,107800000,631400000,4.097e+09,3.868e+09,299200000,2.023698807,-0.3706852496,-0.3233141899,-1.238029599
"404",31461446010,3.644e+09,3.644e+09,9.342e+09,3.946e+09,2.79e+09,2.79e+09,2.79e+09,9.342e+09,7.739e+09,8.54e+08,8.253e+09,-1.868e+09,-5.34e+08,0,4.095e+09,1.4678e+10,7.739e+09,3.02e+08,1.019284606,-0.195186168,0.6119415164,-0.465475291
"405",64813857081,2.356e+09,2.356e+09,2.61e+09,2.662e+09,3.553e+09,3.553e+09,3.553e+09,2.038e+09,8.938e+09,-1.197e+09,1.329e+09,-3e+08,-7.03e+08,1.19e+08,6.401e+09,1.173e+10,1.3601e+10,3.06e+08,0.1565365791,-0.6976189613,0.9330283999,-0.2791206241
"406",43181315305,2351707000,1956224000,2155380000,3117205000,1430766000,1430766000,1430766000,1489820000,11085391000,525458000,-1410469000,-710150000,-722158000,93841000,8771335000,2506957000,58727324000,765498000,1.398248196,-0.4116381109,0.1355548799,-0.8681092262
"407",3.79015e+11,3.2247e+10,2.429e+10,4.3602e+10,6.0677e+10,1.937e+10,1.937e+10,1.9953e+10,2.2844e+10,9.1337e+10,4.92e+09,-2.5989e+10,1.36e+08,-1.341e+10,0,6.5241e+10,1.84089e+11,1.70756e+11,2.843e+10,-0.2325100005,-0.08037564903,0.1666798294,-1.33347702
"408",20561694281,1647900000,1341700000,2331300000,2505400000,1116500000,1116500000,1134600000,1712100000,4184800000,225200000,-1008900000,1.6e+07,-354200000,42600000,2.553e+09,13507400000,10769600000,857500000,-0.5121414065,-0.4980437756,1.092896938,-0.323399514
"409",30285828658,1644091000,981083000,1022173000,1773935000,900914000,957062000,957062000,948832000,2177510000,24021000,1085600000,57583000,-56148000,58481000,522130000,-1808471000,3811126000,129844000,-2.450180292,0.918423593,1.191015244,-1.048814178
"410",33791977008,2.328e+09,2.221e+09,2.451e+09,2.995e+09,2.565e+09,2.565e+09,2.565e+09,1.539e+09,4.745e+09,-3.44e+08,-1.722e+09,-7.79e+08,-5.88e+08,9.5e+07,2.414e+09,1.0831e+10,1.3988e+10,6.67e+08,-0.1012293547,-0.03684459999,0.5439427495,-0.8836417198
"411",49147636370,4.289e+09,3.636e+09,6.935e+09,6.765e+09,2.914e+09,2.914e+09,2.914e+09,4.433e+09,2.1589e+10,7.22e+08,-3.729e+09,-1.046e+09,-1.338e+09,1.12e+08,1.7365e+10,1.1651e+10,7.2714e+10,2.476e+09,0.8819582462,-1.002757788,0.4196581542,-0.6196734905
"412",12966485670,802500000,760500000,932200000,1009400000,370100000,370100000,370100000,692900000,2610700000,390400000,-421100000,-44600000,-242600000,2.8e+07,1801300000,3233400000,4169800000,206900000,4.047446728,1.185694814,0.1659453064,-0.582408011
"413",47058893530,3888176000,3856588000,3025624000,4614133000,2607948000,2607948000,2607948000,1968007000,10362497000,1248640000,-2297346000,-1510894000,-764040000,101362000,6474321000,5148309000,35864664000,725957000,2.993792295,-1.58888495,-1.19441545,-1.831021786
